ID	Type	Expression
290e	WFE	"$\forall X (\text{student?}(X) \rightarrow \exists Y (\text{book?}(Y) \land \text{has\_read?}(X, Y)))$"
290e	NLE	"Every student has read some book."
c4b2	WFE	"$\exists X \forall Y \forall Z (\text{teacher?}(X) \land \text{student\_subject?}(Y, Z) \rightarrow \text{teaches?}(X, Y, Z))$"
c4b2	NLE	"There is a teacher who teaches every student every subject."
d93a	WFE	"$\forall X \exists Y (\neg \text{man?}(X) \lor (\text{word?}(Y) \rightarrow \text{do_honour?}(X, Y)))$"
d93a	NLE	"Either you are not a man enough or you’d honour your word."
b5e3	WFE	"$\exists \text{Employee} \exists \text{Department} \forall \text{Project} (\text{works\_in?}(\text{Employee}, \text{Department}) \land (\text{needs\_employee?}(\text{Project}) \rightarrow \neg \text{department\_has\_project?}(\text{Department}, \text{Project})))$"
b5e3	NLE	"There's an employee in a department that hasn't taken all the projects that need to be done."
d6e4	WFE	"$\forall \text{Person1} \forall \text{Person2} (\neg \text{friends?}(\text{Person1}, \text{Person2}) \rightarrow \exists \text{Event} (\text{attends?}(\text{Person1}, \text{Event}) \land \text{hosts?}(\text{Event}, \text{Person2})))$"
d6e4	NLE	"Not all guests are friends with the host."
b8d3	NLE	"If someone likes another, they know someone who'd vouch for them."
b8d3	WFE	"$\forall X \forall Y (\text{likes?}(X, Y) \rightarrow \exists Z (\text{knows?}(X, Z) \land \text{vouch?}(Z, Y)))$"
7d6f	NLE	"There is a city that is either a coastal city, or it's less popular than all tourist destinations."
7d6f	WFE	"$\exists \mathit{City} \forall \mathit{Destination} (\mathrm{tourist\_destination?}(\mathit{Destination}) \rightarrow (\mathrm{coastal\_city?}(\mathit{City}) \lor \neg \mathrm{more\_popular?}(\mathit{City}, \mathit{Destination})))$"
8e5a	NLE	"All cities are either not landlocked, or not located in a capital region."
8e5a	WFE	"$\forall \mathit{City} (\neg \mathrm{landlocked?}(\mathit{City}) \lor \exists \mathit{Region} (\mathrm{located\_in?}(\mathit{City}, \mathit{Region}) \land \neg \mathrm{capital?}(\mathit{Region})))$"
2b91	NLE	"A country with a major port may ship to any city outside its borders."
2b91	WFE	"$\exists \mathit{PortCity}\ \exists \mathit{Country}\ \forall \mathit{City}\ (\mathrm{major\_port?}(\mathit{PortCity}) \,\land\, \mathrm{located\_in?}(\mathit{PortCity},\mathit{Country}) \,\land\, \neg \mathrm{located\_in?}(\mathit{City},\mathit{Country}) \rightarrow \mathrm{exports\_to?}(\mathit{Country}, \mathit{City}))$"
"c1d8"	NLE	"A group shares content with everyone, but a popular user doesn't follow everyone."
"c1d8"	WFE	"$\forall \mathit{Group}\ \forall \mathit{User}\; \mathrm{shares\_content?}(\mathit{Group}, \mathit{User}) \,\land\, \exists \mathit{Influencer}\; (\mathrm{popular\_user?}(\mathit{Influencer}) \,\land\, \neg \mathrm{follows?}(\mathit{Influencer}, \mathit{User}))$"
"d9e2"	NLE	"Every feature depends upon some incompatible and deprecated library."
"d9e2"	WFE	"$\forall \mathit{Feature} (\exists \mathit{Library} (\mathrm{depends\_on?}(\mathit{Feature}, \mathit{Library})) \rightarrow (\neg \mathrm{compatible\_with?}(\mathit{Feature}, \mathit{Library}) \land \mathrm{deprecated?}(\mathit{Library})))$"
"f3a9"	NLE	"Every course has a module. Either the course is optional, or it doesn't require advanced modules."
"f3a9"	WFE	"$\forall \mathit{Course} \exists \mathit{Module} (\neg \mathrm{mandatory?}(\mathit{Course}) \lor (\mathrm{advanced?}(\mathit{Module}) \rightarrow \neg \mathrm{requires?}(\mathit{Course}, \mathit{Module})))$"
"1b4c"	NLE	"Every popular restaurant serves at least one vegetarian dish."
"1b4c"	WFE	"$\forall \mathit{Restaurant} (\mathrm{popular?}(\mathit{Restaurant}) \rightarrow \exists \mathit{Dish} (\mathrm{vegetarian?}(\mathit{Dish}) \land \mathrm{serves?}(\mathit{Restaurant}, \mathit{Dish})))$"
"7e2f"	NLE	"Some essential gene regulates the interaction between all synergistic protein and enzyme pairs."
"7e2f"	WFE	"$\exists \mathit{Gene} \forall \mathit{Protein} \forall \mathit{Enzyme} ((\mathrm{essential\_gene?}(\mathit{Gene}) \land \mathrm{synergistic\_interaction?}(\mathit{Protein}, \mathit{Enzyme})) \rightarrow \mathrm{regulates\_interaction?}(\mathit{Gene}, \mathit{Protein}, \mathit{Enzyme}))$"
"5c8d"	NLE	"Every protein either isn't a signaling protein, or it binds to some ligand."
"5c8d"	WFE	"$\forall \mathit{Protein} \exists \mathit{Ligand} (\neg \mathrm{signaling\_protein?}(\mathit{Protein}) \lor (\mathrm{ligand?}(\mathit{Ligand}) \rightarrow \mathrm{binds\_to?}(\mathit{Protein}, \mathit{Ligand})))$"
"8a9b"	NLE	"A drug works with a target that isn't blocked by any known inhibitor."
"8a9b"	WFE	"$\exists \mathit{Drug} \exists \mathit{Target} \forall \mathit{Inhibitor} (\mathrm{therapeutic\_effect?}(\mathit{Drug}, \mathit{Target}) \land (\mathrm{known\_inhibitor?}(\mathit{Inhibitor}) \rightarrow \neg \mathrm{inhibited\_by?}(\mathit{Target}, \mathit{Inhibitor})))$"
"3c5a"	NLE	"If two proteins don't directly interact, there's an intermediate protein that lets one affect the other."
"3c5a"	WFE	"$\forall \mathit{ProteinX} \forall \mathit{ProteinY} (\neg \mathrm{directly\_interact?}(\mathit{ProteinX}, \mathit{ProteinY}) \rightarrow \exists \mathit{IntermediateProtein} (\mathrm{activates?}(\mathit{ProteinX}, \mathit{IntermediateProtein}) \land \mathrm{influences?}(\mathit{IntermediateProtein}, \mathit{ProteinY})))$"
"6d7e"	NLE	"A protein involved in cell growth exists that does not inhibit any receptor protein."
"6d7e"	WFE	"$\exists \mathit{GrowthProtein} \forall \mathit{Receptor} (\mathrm{receptor?}(\mathit{Receptor}) \rightarrow (\mathrm{growth\_protein?}(\mathit{GrowthProtein}) \lor \neg \mathrm{inhibits?}(\mathit{GrowthProtein}, \mathit{Receptor})))$"
"2e3f"	NLE	"Every protein is either not a membrane-bound receptor, or it interacts with a molecule that is not a signaling molecule."
"2e3f"	WFE	"$\forall \mathit{Protein} (\neg \mathrm{membrane\_bound\_receptor?}(\mathit{Protein}) \lor \exists \mathit{Molecule} (\mathrm{interacts\_with?}(\mathit{Protein}, \mathit{Molecule}) \land \neg \mathrm{signaling\_molecule?}(\mathit{Molecule})))$"
"4f1g"	NLE	"A protein may activate all genes that aren't co-located with a specific transcription factor."
"4f1g"	WFE	"$\exists \mathit{TranscriptionFactor} \exists \mathit{ActivatorProtein} \forall \mathit{TargetGene} ((\mathrm{transcription\_factor?}(\mathit{TranscriptionFactor}) \rightarrow \mathrm{activates?}(\mathit{ActivatorProtein}, \mathit{TargetGene})) \land \neg \mathrm{co\_located?}(\mathit{TranscriptionFactor}, \mathit{TargetGene}))$"
"7g8h"	NLE	"All compounds bind to some known cancer marker without activating it."
"7g8h"	WFE	"$\forall \mathit{Compound} \exists \mathit{Target} (\mathrm{binds\_to?}(\mathit{Compound}, \mathit{Target}) \land \neg \mathrm{activates?}(\mathit{Compound}, \mathit{Target}) \land \mathrm{cancer\_marker?}(\mathit{Target}))$"
"8h9i"	NLE	"All proteins either aren't nuclear, or they don't have a nuclear signal."
"8h9i"	WFE	"$\forall \mathit{Protein} \exists \mathit{NLS} (\neg \mathrm{nuclear\_protein?}(\mathit{Protein}) \lor (\mathrm{nls?}(\mathit{NLS}) \rightarrow \neg \mathrm{contains\_nls?}(\mathit{Protein}, \mathit{NLS})))$"
"9i0j"	NLE	"A gene that stops cell growth and a protein exist where the gene never regulates the protein binding to DNA."
"9i0j"	WFE	"$\exists \mathit{Gene}\ \exists \mathit{Protein}\ \forall \mathit{DNARegion}\ ((\mathrm{inhibits\_proliferation?}(\mathit{Gene}) \,\land\, \mathrm{binds\_to?}(\mathit{Protein}, \mathit{DNARegion})) \rightarrow \neg \mathrm{regulates\_binding?}(\mathit{Gene}, \mathit{Protein}, \mathit{DNARegion}))$"
"0a1b"	NLE	"All reactions either aren't exothermic, or they use a recyclable catalyst."
"0a1b"	WFE	"$\forall \mathit{Reaction}\ \forall \mathit{Catalyst}\ (\neg \mathrm{exothermic?}(\mathit{Reaction}) \lor (\mathrm{uses\_catalyst?}(\mathit{Reaction}, \mathit{Catalyst}) \rightarrow \mathrm{recyclable?}(\mathit{Catalyst})))$"
"1b2c"	NLE	"A high-temperature process exists that is compatible with all non-corrosive materials."
"1b2c"	WFE	"$\exists \mathit{Process}\ \forall \mathit{Material}\ (\neg \mathrm{corrosive?}(\mathit{Material}) \land (\mathrm{high\_temperature?}(\mathit{Process}) \rightarrow \mathrm{compatible?}(\mathit{Process}, \mathit{Material})))$"
2c3d	NLE	"Every mixture is either not homogeneous, or can be separated using a polar solvent."
2c3d	WFE	"\forall \mathit{Mixture} \exists \mathit{Solvent} (\neg \mathrm{homogeneous?}(\mathit{Mixture}) \lor (\mathrm{polar?}(\mathit{Solvent}) \land \mathrm{separable\_using?}(\mathit{Mixture}, \mathit{Solvent})))
3d4e	NLE	"If a compressible fluid flows through a pipe, then the pipe experiences pressure drop."
3d4e	WFE	"\exists \mathit{Fluid} \exists \mathit{Pipe} (\neg \mathrm{incompressible?}(\mathit{Fluid}) \land \mathrm{flows\_through?}(\mathit{Fluid}, \mathit{Pipe}) \rightarrow \mathrm{pressure\_drop?}(\mathit{Pipe}))
4e5f	NLE	"If two fluids don't mix, then one is a liquid, and the other is a gas."
4e5f	WFE	"\forall \mathit{Fluid1} \forall \mathit{Fluid2} (\neg \mathrm{miscible?}(\mathit{Fluid1}, \mathit{Fluid2}) \rightarrow (\mathrm{liquid?}(\mathit{Fluid1}) \lor \mathrm{gas?}(\mathit{Fluid2})))
5f6g	NLE	"A reaction exists where all products it makes are not inhibited by any inhibitor."
5f6g	WFE	"\exists \mathit{Reaction} \forall \mathit{Product} \forall \mathit{Inhibitor} (\mathrm{produces?}(\mathit{Reaction}, \mathit{Product}) \land \neg \mathrm{inhibited\_by?}(\mathit{Product}, \mathit{Inhibitor}))"
6g7h	NLE	"All reactions are either not direct, or they produce a product using a transition metal catalyst."
6g7h	WFE	"\forall \mathit{Reaction} \forall \mathit{Product} (\neg \mathrm{direct\_reaction?}(\mathit{Reaction}) \lor \exists \mathit{Catalyst} (\mathrm{transition\_metal?}(\mathit{Catalyst}) \land \mathrm{produces\_using?}(\mathit{Reaction}, \mathit{Product}, \mathit{Catalyst})))
7h8i	NLE	"Some first-order reaction is inhibited by a non-catalyst compound."
7h8i	WFE	"\exists \mathit{Reaction} \exists \mathit{Inhibitor} (\mathrm{first\_order\_reaction?}(\mathit{Reaction}) \land \neg \mathrm{catalyst?}(\mathit{Inhibitor}) \rightarrow \mathrm{inhibited\_by?}(\mathit{Reaction}, \mathit{Inhibitor}))
9j0k	NLE	"A reactor exists that either isn't a continuous stirred-tank reactor (CSTR), or is suitable for all high pressure conditions."
9j0k	WFE	"\exists \mathit{Reactor} \forall \mathit{Condition} (\neg \mathrm{cstr?}(\mathit{Reactor}) \lor (\mathrm{high\_pressure?}(\mathit{Condition}) \rightarrow \mathrm{suitable\_for?}(\mathit{Reactor}, \mathit{Condition})))
0k1l	NLE	"Every non-elementary reaction is enhanced by some solid catalyst."
0k1l	WFE	"\forall \mathit{Reaction} \exists \mathit{Catalyst} (\neg \mathrm{elementary\_reaction?}(\mathit{Reaction}) \land (\mathrm{solid\_catalyst?}(\mathit{Catalyst}) \rightarrow \mathrm{enhanced\_by?}(\mathit{Reaction}, \mathit{Catalyst})))"
"1l2m"	NLE	"Some high-yield reaction produces products that contain no impurities."
"1l2m"	WFE	"\exists \mathit{Reaction} \forall \mathit{Product} \forall \mathit{Impurity} (\mathrm{high\_yield?}(\mathit{Reaction}) \rightarrow (\neg \mathrm{contains\_impurity?}(\mathit{Product}, \mathit{Impurity}) \land \mathrm{produces?}(\mathit{Reaction}, \mathit{Product})))"
"2m3n"	NLE	"All machines either aren't precision instruments, or they use a high-strength alloy component."
"2m3n"	WFE	"\forall \mathit{Machine} (\neg \mathrm{precision\_instrument?}(\mathit{Machine}) \lor \exists \mathit{Component} (\mathrm{high\_strength\_alloy?}(\mathit{Component}) \land \mathrm{uses?}(\mathit{Machine}, \mathit{Component})))"
"3n4o"	NLE	"All components are controlled by an assembly station through a compatible tool."
"3n4o"	WFE	"\forall \mathit{Component} \exists \mathit{AssemblyStation} \exists \mathit{Tool} (\mathrm{compatible?}(\mathit{Tool}, \mathit{Component}) \land \mathrm{uses\_tool?}(\mathit{AssemblyStation}, \mathit{Tool}, \mathit{Component}))"
"4o5p"	NLE	"All ductile materials are suitable for any non-casting manufacturing process."
"4o5p"	WFE	"\forall \mathit{Material} \forall \mathit{Process} (\mathrm{ductile?}(\mathit{Material}) \land \neg \mathrm{casting\_process?}(\mathit{Process}) \rightarrow \mathrm{suitable\_for?}(\mathit{Material}, \mathit{Process}))
"5p6q"	NLE	"Some structure either isn't a bridge, or it incorporates a reinforced steel beam."
"5p6q"	WFE	"\exists \mathit{Structure} \exists \mathit{Component} (\neg \mathrm{bridge?}(\mathit{Structure}) \lor (\mathrm{reinforced\_steel\_beam?}(\mathit{Component}) \land \mathrm{incorporates?}(\mathit{Structure}, \mathit{Component})))"
"6q7r"	NLE	"In a vibration-sensitive system, a vibration damper is used without replacing any standard component."
"6q7r"	WFE	"\forall \mathit{System} \forall \mathit{VibrationDamper} \forall \mathit{StandardComponent} (\mathrm{vibration\_sensitive?}(\mathit{System}) \rightarrow (\mathrm{vibration\_damper?}(\mathit{VibrationDamper}) \land \neg \mathrm{replaced\_by?}(\mathit{StandardComponent}, \mathit{VibrationDamper})))"
"7r8s"	NLE	"Some robots use tools without damaging any delicate component."
"7r8s"	WFE	"\exists \mathit{Robot} \exists \mathit{Tool} \forall \mathit{Component} (\mathrm{uses\_tool?}(\mathit{Robot}, \mathit{Tool}) \land \mathrm{delicate?}(\mathit{Component}) \rightarrow \neg \mathrm{damages?}(\mathit{Robot}, \mathit{Tool}, \mathit{Component}))"
"8s9t"	NLE	"Every machine either has a component it rarely maintains, or it needs frequent maintenance due to some high-wear component."
"8s9t"	WFE	"\forall \mathit{Machine} \exists \mathit{Component} (\neg \mathrm{requires\_maintenance?}(\mathit{Machine}, \mathit{Component}) \lor (\mathrm{high\_wear?}(\mathit{Component}) \rightarrow \mathrm{high\_maintenance\_frequency?}(\mathit{Machine})))"
"9t0u"	NLE	"Some high-compression engine is compatible with all non-high-octane fuels."
"9t0u"	WFE	"\exists \mathit{Engine} \forall \mathit{Fuel} (\neg \mathrm{high\_octane?}(\mathit{Fuel}) \land (\mathrm{high\_compression?}(\mathit{Engine}) \rightarrow \mathrm{compatible?}(\mathit{Engine}, \mathit{Fuel})))"
"0u1v"	NLE	"Automated quality control systems have blind spots for critical defects."
"0u1v"	WFE	"\forall \mathit{QualityControlSystem} \exists \mathit{CriticalDefect} \forall \mathit{Sensor} (\mathrm{automated?}(\mathit{QualityControlSystem}) \rightarrow (\mathrm{critical?}(\mathit{CriticalDefect}) \land \neg \mathrm{detects?}(\mathit{Sensor}, \mathit{CriticalDefect})))"
"1v2w"	NLE	"Some material is resistant to a load if it's a composite material or the load isn't tensile."
"1v2w"	WFE	"\exists \mathit{Material} \exists \mathit{Load} (\mathrm{composite?}(\mathit{Material}) \lor \neg \mathrm{tensile?}(\mathit{Load}) \rightarrow \mathrm{resistant\_to?}(\mathit{Material}, \mathit{Load}))"
"2w3x"	NLE	"All precision-machined components are suitable for non-high-temperature operating conditions."
"2w3x"	WFE	"\forall \mathit{Component} \forall \mathit{Condition} (\mathrm{precision\_machined?}(\mathit{Component}) \land \neg \mathrm{high\_temperature?}(\mathit{Condition}) \rightarrow \mathrm{suitable\_for?}(\mathit{Component}, \mathit{Condition}))"
"28d9"	WFE	"$\exists X \forall Y (\neg p?(Y) \land (q?(X) \rightarrow r?(X, Y)))$"
"5ea2"	WFE	"$\forall X \exists Y (\neg q?(X) \lor (p?(Y) \land r?(X, Y)))$"
"eb67"	WFE	"$\exists X \forall Y (p?(X) \land \neg q?(Y) \rightarrow r?(X, Y))$"